Country,gdp,whi
Algeria,13540.79671,6.355
Benin,1936.825582,3.347
Botswana,15359.06317,4.031
Burkina Faso,1545.077556,3.481
Burundi,734.4845955,2.905
Cameroon,2835.566677,4.24
Chad,2081.718396,3.46
Congo,5988.158823,4.056
Cote d'Ivoire,3108.425908,3.57
Democratic Republic of Congo,711.5201297,4.414
Egypt,10045.77995,4.885
Ethiopia,1430.803443,4.507
Gabon,18536.76837,3.918
Ghana,3894.004399,3.86
Guinea,1165.12982,3.412
Kenya,2818.255144,4.905
Liberia,802.0499464,4.571
Madagascar,1373.184562,3.676
Malawi,783.8314745,4.563
Mali,1525.685201,3.975
Mauritania,3731.902529,4.483
Mauritius,17730.8984,5.648
Niger,894.6284162,4.181
Rwanda,1584.205133,3.596
Senegal,2225.833473,4.395
Sierra Leone,1875.721347,4.5
South Africa,12446.37393,4.828
South Sudan,1926.052152,3.832
Sudan,3882.245273,4.139
Tanzania,2421.20802,3.483
Togo,1363.126595,2.839
Tunisia,10909.84197,4.764
Uganda,1689.436629,3.77
Zambia,3724.526564,4.346
Zimbabwe,1709.143995,4.184
