Country,gdp,whi
Belize,8029.833508,5.956
Bolivia,6324.990141,5.865
Brazil,15109.82555,6.981
Canada,42777.89898,7.304
Chile,21979.82132,6.844
Colombia,12743.01602,6.449
Costa Rica,14232.17543,7.247
Dominican Republic,12652.5233,5.387
Ecuador,10848.81847,5.946
El Salvador,7967.149952,5.857
Guatemala,7111.550259,6.536
Haiti,1652.173694,3.889
Honduras,4682.99035,5.056
Jamaica,8467.386034,5.311
Mexico,16284.15191,6.68
Nicaragua,4692.139506,6.275
Panama,19934.0278,6.631
Paraguay,8501.629171,5.119
Peru,11437.70538,5.866
United States,52117.74585,7.151
Uruguay,19924.05088,6.561
Venezuela,16750.89844,6.136
