Country,gdp,whi
Afghanistan,1844.021503,3.131
Armenia,7698.694581,4.453
Australia,43218.51526,7.289
Azerbaijan,16710.29664,5.252
Bahrain,43408.23705,6.165
Bangladesh,2979.16727,4.636
Bhutan,7456.315988,4.939
Cambodia,3112.630513,3.883
China,12599.18183,5.196
Hong Kong,52551.601,5.458
India,5438.616195,4.424
Indonesia,10033.48179,5.597
Iran,16507.02425,4.682
Iraq,14364.83649,4.542
Israel,31484.6333,7.401
Japan,35634.97072,5.923
Jordan,11496.26493,5.333
Kazakhstan,23113.93318,5.97
Kuwait,69877.98654,6.18
Kyrgyzstan,3169.471608,5.252
Lebanon,16659.32796,5.233
Malaysia,24459.77964,5.963
Mongolia,11396.4208,4.825
New Zealand,33846.47079,7.306
Nepal,2265.053018,4.975
Pakistan,4590.146529,5.436
Palestine,4301.675005,4.722
Philippines,6648.550529,5.313
Saudi Arabia,49536.98788,6.278
Singapore,78958.09344,7.062
South Korea,33629.4189,5.801
Sri Lanka,10667.15961,4.268
Tajikistan,2567.037722,4.896
Thailand,15011.60703,6.985
Turkey,18869.00693,5.58
Turkmenistan,14762.14098,5.787
United Arab Emirates,64562.62007,6.54
Uzbekistan,5316.872673,6.049
Vietnam,5370.144872,5.085
