Country,Continent,gdp,whi
Afghanistan,Asia,1844.021503,3.131
Albania,Europe,10136.02049,4.814
Algeria,Africa,13540.79671,6.355
Armenia,Asia,7698.694581,4.453
Australia,Asia,43218.51526,7.289
Austria,Europe,43908.12714,6.95
Azerbaijan,Asia,16710.29664,5.252
Bahrain,Asia,43408.23705,6.165
Bangladesh,Asia,2979.16727,4.636
Belarus,Europe,17348.76639,5.812
Belgium,Europe,40823.39248,6.855
Belize,America,8029.833508,5.956
Benin,Africa,1936.825582,3.347
Bhutan,Asia,7456.315988,4.939
Bolivia,America,6324.990141,5.865
Bosnia and Herzegovina,Europe,9490.143489,5.249
Botswana,Africa,15359.06317,4.031
Brazil,America,15109.82555,6.981
Bulgaria,Europe,16363.19176,4.438
Burkina Faso,Africa,1545.077556,3.481
Burundi,Africa,734.4845955,2.905
Cambodia,Asia,3112.630513,3.883
Cameroon,Africa,2835.566677,4.24
Canada,America,42777.89898,7.304
Chad,Africa,2081.718396,3.46
Chile,America,21979.82132,6.844
China,Asia,12599.18183,5.196
Colombia,America,12743.01602,6.449
Congo,Africa,5988.158823,4.056
Costa Rica,America,14232.17543,7.247
Cote d'Ivoire,Africa,3108.425908,3.57
Croatia,Europe,20033.08754,5.381
Cyprus,Europe,29673.18385,5.627
Czech Republic,Europe,28715.13873,6.484
Democratic Republic of Congo,Africa,711.5201297,4.414
Denmark,Europe,42757.54325,7.508
Dominican Republic,America,12652.5233,5.387
Ecuador,America,10848.81847,5.946
Egypt,Africa,10045.77995,4.885
El Salvador,America,7967.149952,5.857
Estonia,Europe,26611.72977,5.556
Ethiopia,Africa,1430.803443,4.507
Finland,Europe,38534.98821,7.385
France,Europe,37214.40686,6.467
Gabon,Africa,18536.76837,3.918
Georgia,Europe,7233.37689,4.288
Germany,Europe,43602.35925,6.984
Ghana,Africa,3894.004399,3.86
Greece,Europe,24372.42214,4.756
Guatemala,America,7111.550259,6.536
Guinea,Africa,1165.12982,3.412
Haiti,America,1652.173694,3.889
Honduras,America,4682.99035,5.056
Hong Kong,Asia,52551.601,5.458
Hungary,Europe,23734.78551,5.181
India,Asia,5438.616195,4.424
Indonesia,Asia,10033.48179,5.597
Iran,Asia,16507.02425,4.682
Iraq,Asia,14364.83649,4.542
Ireland,Europe,48430.92559,7.018
Israel,Asia,31484.6333,7.401
Italy,Europe,33038.91175,6.027
Jamaica,America,8467.386034,5.311
Japan,Asia,35634.97072,5.923
Jordan,Asia,11496.26493,5.333
Kazakhstan,Asia,23113.93318,5.97
Kenya,Africa,2818.255144,4.905
Kosovo,Europe,8694.631864,5
Kuwait,Asia,69877.98654,6.18
Kyrgyzstan,Asia,3169.471608,5.252
Latvia,Europe,22076.41849,5.729
Lebanon,Asia,16659.32796,5.233
Liberia,Africa,802.0499464,4.571
Lithuania,Europe,25813.09716,6.126
Luxembourg,Europe,91408.36842,6.891
Macedonia,Europe,12287.3521,5.204
Madagascar,Africa,1373.184562,3.676
Malawi,Africa,783.8314745,4.563
Malaysia,Asia,24459.77964,5.963
Mali,Africa,1525.685201,3.975
Mauritania,Africa,3731.902529,4.483
Mauritius,Africa,17730.8984,5.648
Mexico,America,16284.15191,6.68
Mongolia,Asia,11396.4208,4.825
Montenegro,Europe,14534.17858,5.283
Nepal,Asia,2265.053018,4.975
Netherlands,Europe,45691.39293,7.321
New Zealand,Asia,33846.47079,7.306
Nicaragua,America,4692.139506,6.275
Niger,Africa,894.6284162,4.181
Norway,Europe,64004.08444,7.444
Pakistan,Asia,4590.146529,5.436
Palestine,Asia,4301.675005,4.722
Panama,America,19934.0278,6.631
Paraguay,America,8501.629171,5.119
Peru,America,11437.70538,5.866
Philippines,Asia,6648.550529,5.313
Poland,Europe,23975.8319,5.75
Portugal,Europe,26184.09946,5.127
Romania,Europe,19098.15424,5.727
Russia,Europe,23292.91145,6.037
Rwanda,Africa,1584.205133,3.596
Saudi Arabia,Asia,49536.98788,6.278
Senegal,Africa,2225.833473,4.395
Serbia,Europe,12716.89836,5.113
Sierra Leone,Africa,1875.721347,4.5
Singapore,Asia,78958.09344,7.062
Slovakia,Europe,26470.60946,6.139
Slovenia,Europe,28153.03225,5.678
South Africa,Africa,12446.37393,4.828
South Korea,Asia,33629.4189,5.801
South Sudan,Africa,1926.052152,3.832
Spain,Europe,31801.94262,6.456
Sri Lanka,Asia,10667.15961,4.268
Sudan,Africa,3882.245273,4.139
Sweden,Europe,44033.94329,7.239
Switzerland,Europe,55260.31832,7.493
Tajikistan,Asia,2567.037722,4.896
Tanzania,Africa,2421.20802,3.483
Thailand,Asia,15011.60703,6.985
Togo,Africa,1363.126595,2.839
Tunisia,Africa,10909.84197,4.764
Turkey,Asia,18869.00693,5.58
Turkmenistan,Asia,14762.14098,5.787
Uganda,Africa,1689.436629,3.77
Ukraine,Europe,8267.065341,4.297
United Arab Emirates,Asia,64562.62007,6.54
United Kingdom,Europe,38177.9688,6.758
United States,America,52117.74585,7.151
Uruguay,America,19924.05088,6.561
Uzbekistan,Asia,5316.872673,6.049
Venezuela,America,16750.89844,6.136
Vietnam,Asia,5370.144872,5.085
Zambia,Africa,3724.526564,4.346
Zimbabwe,Africa,1709.143995,4.184
