Country,gdp,whi
Albania,10136.02049,4.814
Austria,43908.12714,6.95
Belarus,17348.76639,5.812
Belgium,40823.39248,6.855
Bosnia and Herzegovina,9490.143489,5.249
Bulgaria,16363.19176,4.438
Croatia,20033.08754,5.381
Cyprus,29673.18385,5.627
Czech Republic,28715.13873,6.484
Denmark,42757.54325,7.508
Estonia,26611.72977,5.556
Finland,38534.98821,7.385
France,37214.40686,6.467
Georgia,7233.37689,4.288
Germany,43602.35925,6.984
Greece,24372.42214,4.756
Hungary,23734.78551,5.181
Ireland,48430.92559,7.018
Italy,33038.91175,6.027
Kosovo,8694.631864,5
Latvia,22076.41849,5.729
Lithuania,25813.09716,6.126
Luxembourg,91408.36842,6.891
Macedonia,12287.3521,5.204
Montenegro,14534.17858,5.283
Netherlands,45691.39293,7.321
Norway,64004.08444,7.444
Poland,23975.8319,5.75
Portugal,26184.09946,5.127
Romania,19098.15424,5.727
Russia,23292.91145,6.037
Serbia,12716.89836,5.113
Slovakia,26470.60946,6.139
Slovenia,28153.03225,5.678
Spain,31801.94262,6.456
Sweden,44033.94329,7.239
Switzerland,55260.31832,7.493
Ukraine,8267.065341,4.297
United Kingdom,38177.9688,6.758
